,Date Time,inci #,Description,Address,dispo
0,9/24/2024 12:05:03 AM,202409240001,MEDICAL - AMBULANCE NEEDED,5100 Block of JULMAR CT,
1,9/24/2024 1:05:13 AM,202409240006,MEDICAL - AMBULANCE NEEDED,3100 Block of CENTER DR,
2,9/24/2024 1:48:50 AM,202409240010,INFORMATION - FIRE ONLY,0 Block of EB I80,
3,9/24/2024 3:12:03 AM,202409240016,MEDICAL - AMBULANCE NEEDED,900 Block of TABOR AV,
4,9/24/2024 4:27:53 AM,202409240019,MEDICAL - AMBULANCE NEEDED,2300 Block of WHITECLIFF CT,
5,9/24/2024 6:10:14 AM,202409240024,MEDICAL - AMBULANCE NEEDED,0 Block of JEFFERSON ST,
6,9/24/2024 7:33:05 AM,202409240033,HIGH SPEED VEHICLE ACCIDENT FIRE/AMBULANCE,0 Block of SB I680,
7,9/24/2024 8:00:34 AM,202409240045,MEDICAL - AMBULANCE NEEDED,600 Block of E TRAVIS BL,
8,9/24/2024 8:18:03 AM,202409240047,MEDICAL - AMBULANCE NEEDED,2100 Block of GREENFIELD DR,
9,9/24/2024 8:28:49 AM,202409240052,INFORMATION - FIRE ONLY,200 Block of PENNSYLVANIA AV,
10,9/24/2024 8:29:41 AM,202409240053,INFORMATION - FIRE ONLY,400 Block of BECK AV,
11,9/24/2024 9:00:33 AM,202409240066,HAZARD - FIRE ONLY,0 Block of MARIGOLD DR,
12,9/24/2024 9:32:21 AM,202409240072,TRANSIENT/HOMELESS FIRE,0 Block of E TABOR AV,
13,9/24/2024 9:35:03 AM,202409240075,MEDICAL - AMBULANCE NEEDED,200 Block of DE SOTO DR,
14,9/24/2024 10:39:33 AM,202409240098,SMOKE OR ODOR INVESTIGATION,500 Block of UNION AV,
15,9/24/2024 11:33:00 AM,202409240112,MEDICAL - AMBULANCE NEEDED,3500 Block of SPRINGFIELD DR,
16,9/24/2024 11:35:23 AM,202409240113,VEHICLE FIRE,1300 Block of W TEXAS ST,
17,9/24/2024 12:01:07 PM,202409240120,MEDICAL - AMBULANCE NEEDED,2300 Block of DANUBE CT,
18,9/24/2024 12:02:09 PM,202409240121,FIRE ALARM,5000 Block of RED TOP RD,
19,9/24/2024 12:02:44 PM,202409240122,INFORMATION - FIRE ONLY,1300 Block of HOLIDAY LN,
20,9/24/2024 12:44:31 PM,202409240133,MEDICAL - AMBULANCE NEEDED,3200 Block of RANCHO SOLANO PKWY,
21,9/24/2024 12:49:24 PM,202409240135,MEDICAL - AMBULANCE NEEDED,2700 Block of N TEXAS ST,
22,9/24/2024 1:30:10 PM,202409240144,FIRE ALARM,2900 Block of CORDELIA RD,
23,9/24/2024 1:39:41 PM,202409240146,FIRE ALARM,1500 Block of GATEWAY BL,
24,9/24/2024 1:41:42 PM,202409240147,FIRE ALARM,1800 Block of N TEXAS ST,
25,9/24/2024 2:23:34 PM,202409240162,MEDICAL ALARM,2900 Block of VISTA GRANDE,
26,9/24/2024 2:46:05 PM,202409240168,MEDICAL - AMBULANCE NEEDED,0 Block of TABOR AV,
27,9/24/2024 3:19:14 PM,202409240176,MEDICAL - AMBULANCE NEEDED,2500 Block of BOXWOOD LN,
28,9/24/2024 3:28:16 PM,202409240177,ACCIDENT - NO DETAILS - FIRE/AMBULANCE,0 Block of E TRAVIS BL,
29,9/24/2024 4:36:06 PM,202409240195,MEDICAL - AMBULANCE NEEDED,1200 Block of TYLER ST,
30,9/24/2024 4:36:15 PM,202409240196,MEDICAL - AMBULANCE NEEDED,500 Block of EL CAMINO DR,
31,9/24/2024 4:38:07 PM,202409240197,MEDICAL ALARM,0 Block of BALBOA CT,
32,9/24/2024 4:47:13 PM,202409240200,MEDICAL - AMBULANCE NEEDED,1600 Block of PARK LN,
33,9/24/2024 4:55:24 PM,202409240203,HIGH SPEED VEHICLE ACCIDENT FIRE/AMBULANCE,0 Block of EB I80 ON,
34,9/24/2024 5:34:49 PM,202409240210,PERSON DOWN - FIRE/AMBULANCE,0 Block of OLIVER RD,
35,9/24/2024 5:44:36 PM,202409240214,WATER CALL OUT,2000 Block of NOTTINGHAM DR,
36,9/24/2024 6:20:16 PM,202409240220,MEDICAL - AMBULANCE NEEDED,1700 Block of HAZELTINE WY,
37,9/24/2024 6:21:08 PM,202409240221,WATER CALL OUT,2000 Block of NOTTINGHAM DR,
38,9/24/2024 6:39:57 PM,202409240226,MEDICAL - AMBULANCE NEEDED,1200 Block of TABOR AV,
39,9/24/2024 7:14:27 PM,202409240240,WATER CALL OUT,1400 Block of STONEWOOD CT,
40,9/24/2024 7:19:45 PM,202409240247,ACCIDENT - FIRE/AMBULANCE,1000 Block of E TABOR AV,
41,9/24/2024 7:21:38 PM,202409240250,MEDICAL - AMBULANCE NEEDED,1900 Block of N TEXAS ST,
42,9/24/2024 7:39:33 PM,202409240254,MEDICAL - AMBULANCE NEEDED,2100 Block of PENNSYLVANIA AV,
43,9/24/2024 8:32:05 PM,202409240262,MEDICAL - AMBULANCE NEEDED,4000 Block of SIERRA CT,
44,9/24/2024 8:38:15 PM,202409240263,MEDICAL - AMBULANCE NEEDED,2900 Block of BALSAM CT,
45,9/24/2024 8:44:08 PM,202409240264,MEDICAL - AMBULANCE NEEDED,2100 Block of LARCHMONT CR,
46,9/24/2024 8:47:01 PM,202409240265,MEDICAL - AMBULANCE NEEDED,2900 Block of SHAVER ST,
47,9/24/2024 9:12:15 PM,202409240270,ACCIDENT - NO INJURIES - FIRE/AMBULANCE,0 Block of RAMSEY RD,
48,9/24/2024 9:34:23 PM,202409240276,WATER CALL OUT,700 Block of SURREY CT,
49,9/24/2024 9:36:04 PM,202409240277,MEDICAL - AMBULANCE NEEDED,1400 Block of W TEXAS ST,
50,9/24/2024 11:03:51 PM,202409240286,MEDICAL ALARM,2800 Block of DOVER AV,
